Emotion,War time Presidents,Peace time Presidents
anger,9.646698822,7.840036809
anticipation,19.27737958,17.94283727
disgust,6.864064982,3.705105746
fear,16.74809119,13.19782061
joy,17.56618185,18.390905
sadness,9.684017105,6.37679745
surprise,7.167938237,6.006599375
trust,31.3870948,34.31392657
negative,21.896757,17.0857153
positive,48.72166157,46.00001708
